IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
121.146.38.125,13333,true,FUK,亚太,JP,日本,福冈,171 ms,0.00
121.132.58.142,10081,true,ICN,亚太,KR,韩国,首尔,167 ms,0.00
150.230.27.23,16504,true,YYZ,北美洲,CA,加拿大,多伦多,241 ms,0.00
154.16.183.199,25106,true,HKG,亚太,HK,香港,香港,123 ms,0.00
121.144.201.72,10005,true,ICN,亚太,KR,韩国,首尔,174 ms,0.00
121.153.36.122,30073,true,ICN,亚太,KR,韩国,首尔,168 ms,0.00
121.139.174.91,50003,true,ICN,亚太,KR,韩国,首尔,166 ms,0.00
154.17.12.14,38609,true,LAX,北美洲,US,美国,洛杉矶,174 ms,0.00
154.17.0.70,12356,true,LAX,北美洲,US,美国,洛杉矶,153 ms,0.00
118.42.194.47,20201,true,KIX,亚太,JP,日本,大阪,179 ms,0.00
118.41.25.147,30012,true,ICN,亚太,KR,韩国,首尔,161 ms,0.00
119.202.114.207,16104,true,ICN,亚太,KR,韩国,首尔,165 ms,0.00
119.8.238.73,81,true,HKG,亚太,HK,香港,香港,57 ms,0.00
118.163.37.32,81,true,KHH,亚太,TW,台湾,高雄,77 ms,0.00
106.75.178.154,8969,true,SJC,北美洲,US,美国,圣何塞,53 ms,0.00
150.230.206.237,9710,true,NRT,亚太,JP,日本,东京,189 ms,0.00
152.69.232.112,25760,true,ICN,亚太,KR,韩国,首尔,94 ms,0.00
115.40.28.225,10911,true,ICN,亚太,KR,韩国,首尔,104 ms,0.00
112.119.49.206,23555,true,HKG,亚太,HK,香港,香港,235 ms,0.00
112.165.35.70,10001,true,ICN,亚太,KR,韩国,首尔,171 ms,0.00
115.90.136.116,39076,true,ICN,亚太,KR,韩国,首尔,67 ms,0.00
106.55.177.58,3396,true,LAX,北美洲,US,美国,洛杉矶,311 ms,0.00
109.61.95.21,8080,true,LHR,欧洲,GB,英国,伦敦,247 ms,0.00
107.173.181.236,7700,true,SEA,北美洲,US,美国,西雅图,177 ms,0.00
211.219.44.149,50003,true,ICN,亚太,KR,韩国,首尔,158 ms,0.00
112.121.210.157,16002,true,NRT,亚太,JP,日本,东京,116 ms,0.00
110.15.107.178,12192,true,HKG,亚太,HK,香港,香港,99 ms,0.00
152.70.101.24,16800,true,NRT,亚太,JP,日本,东京,180 ms,0.00
110.15.107.178,10088,true,ICN,亚太,KR,韩国,首尔,80 ms,0.00
150.246.245.126,12203,true,NRT,亚太,JP,日本,东京,189 ms,0.00
103.45.245.201,29016,true,MAD,欧洲,ES,西班牙,马德里,261 ms,0.00
152.70.101.24,16666,true,NRT,亚太,JP,日本,东京,180 ms,0.00
192.200.160.15,8443,true,LAX,北美洲,US,美国,洛杉矶,204 ms,0.00
140.238.10.44,23253,true,ICN,亚太,KR,韩国,首尔,151 ms,0.00
141.11.91.177,40110,true,HKG,亚太,HK,香港,香港,235 ms,0.00
152.67.192.243,2296,true,ICN,亚太,KR,韩国,首尔,84 ms,0.00
141.11.175.174,20368,true,HKG,亚太,HK,香港,香港,380 ms,0.00
103.232.213.211,27053,true,NRT,亚太,JP,日本,东京,87 ms,0.00
104.194.84.219,25411,true,LAX,北美洲,US,美国,洛杉矶,174 ms,0.00
104.243.26.171,42695,true,LAX,北美洲,US,美国,洛杉矶,165 ms,0.00
106.241.78.205,11001,true,NRT,亚太,JP,日本,东京,137 ms,0.00
103.99.178.62,51794,true,LAX,北美洲,US,美国,洛杉矶,192 ms,0.00
103.99.178.62,31940,true,LAX,北美洲,US,美国,洛杉矶,199 ms,0.00
106.240.1.52,20443,true,ICN,亚太,KR,韩国,首尔,94 ms,0.00
106.244.196.196,30005,true,ICN,亚太,KR,韩国,首尔,66 ms,0.00
103.75.70.25,54310,true,NRT,亚太,JP,日本,东京,173 ms,0.00
103.170.72.92,27014,true,LAX,北美洲,US,美国,洛杉矶,177 ms,0.00
103.232.213.211,27061,true,NRT,亚太,JP,日本,东京,87 ms,0.00
103.232.213.211,30387,true,NRT,亚太,JP,日本,东京,86 ms,0.00
31.14.116.12,8000,true,FRA,欧洲,DE,德国,法兰克福,269 ms,0.00
103.170.72.120,27061,true,LAX,北美洲,US,美国,洛杉矶,181 ms,0.00
150.230.252.47,50051,true,ICN,亚太,KR,韩国,首尔,81 ms,0.00
103.232.213.211,27013,true,NRT,亚太,JP,日本,东京,87 ms,0.00
103.201.131.55,31272,true,NRT,亚太,JP,日本,东京,68 ms,0.00
150.230.254.21,1443,true,ICN,亚太,KR,韩国,首尔,78 ms,0.00
206.238.237.146,2083,true,LAX,北美洲,US,美国,洛杉矶,264 ms,0.00
